facility_name,site_code,operator_name,operator_parent,country,metro,city,address,it_capacity_mw,colo_cages,private_cabinets,partial_cabinets,bare_metal,remote_hands,public_cloud,certifications,leaseable_signal,nearest_facilities,operator_website,facility_url,datacenters_com_url,cloudscene_url,relevance_score,relevance_reason,tags,confidence,exclude_from_outreach,scraped_at,source_url,notes
NextStream Barracas,,NextStream,,Argentina,Buenos Aires,Buenos Aires,Osvaldo Cruz 2890,,False,True,True,False,False,False,,Yes,NextStream Velez (0.08 miles); Ringo DCI (1.38 miles); Prisma Medios de Pago DC (1.39 miles); Fiserv DC – Buenos Aires (1.95 miles); Claro Data Center San Telmo (2.4 miles),https://www.datacentermap.com/visit/datacenter/nabiax-barracas/,https://www.datacentermap.com/argentina/buenos-aires/nabiax-barracas/,https://www.datacenters.com/providers/nextstream,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:57:46Z,https://www.datacentermap.com/argentina/buenos-aires/nabiax-barracas/,"Operator HQ: London, United Kingdom. Services offered: Suites, Footprints, Private Cabinets, Partial Cabinets. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
NextStream Velez,,NextStream,,Argentina,Buenos Aires,C1279ACA Buenos Aires,Cruz del Sud 2943,,False,True,True,False,False,False,,Yes,NextStream Barracas (0.13 km); Ringo DCI (2.22 km); Prisma Medios de Pago DC (2.26 km); Fiserv DC – Buenos Aires (3.14 km); Claro Data Center San Telmo (3.99 km),https://www.datacentermap.com/visit/datacenter/nextstream-velez/,https://www.datacentermap.com/argentina/buenos-aires/nextstream-velez/,https://www.datacenters.com/providers/nextstream,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:57:57Z,https://www.datacentermap.com/argentina/buenos-aires/nextstream-velez/,"Operator HQ: London, United Kingdom. Services offered: Suites, Footprints, Private Cabinets, Partial Cabinets. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Telecom Pacheco,,Telecom Argentina,,Argentina,Buenos Aires,B1618FBBBuenos Aires,Colectora Este 32375,,True,True,True,True,True,True,,Yes,Advantun Talar (1.29 km); Advantun Benavidez (6.64 km); ARSAT Buenos Aires (7.23 km); Kyndryl Martinez-Buenos Aires (14.79 km); Latincloud Buenos Aires (16.58 km),https://www.datacentermap.com/visit/datacenter/telecom-argentina-datacenter/,https://www.datacentermap.com/argentina/buenos-aires/telecom-argentina-datacenter/,https://www.datacenters.com/telecom-argentina-s-a-telecom-pacheco,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-07T23:58:51Z,https://www.datacentermap.com/argentina/buenos-aires/telecom-argentina-datacenter/,"Operator HQ: Miami, FLORIDA. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Individual Servers, Remote Hands, Bare Metal Servers, Public Cloud Servers. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Telecom Estomba,,Telecom Argentina,,Argentina,Buenos Aires,C1430AZNBuenos Aires City,Av. Congreso 3924,,True,True,True,True,True,True,,Yes,Intermedia SP Data Center (0.67 km); BAEHOST Web Hosting & Cloud (1.83 km); Allytech Data Center (2.26 km); Gigared Data Center (2.56 km); Cirion BUE1 (3.08 km),https://www.datacentermap.com/visit/datacenter/telecom-estomba/,https://www.datacentermap.com/argentina/buenos-aires/telecom-estomba/,https://www.datacenters.com/telecom-argentina-s-a-telecom-pacheco,,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",Med,False,2026-08-07T23:58:56Z,https://www.datacentermap.com/argentina/buenos-aires/telecom-estomba/,"Operator HQ: Miami, FLORIDA. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Individual Servers, Remote Hands, Bare Metal Servers, Public Cloud Servers. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Anacondaweb Santiago,,Anacondaweb S.A.,,Chile,Santiago,5Santiago,Alameda 580,,False,True,True,True,True,True,,Yes,Entel Central (0.04 km); GTD Moneda (0.42 km); IFX Phillips (0.7 km); GTD Huerfanos (0.78 km); GTD Lidice I (0.89 km),https://www.datacentermap.com/visit/datacenter/anacondaweb/,https://www.datacentermap.com/chile/santiago/anacondaweb/,https://www.datacenters.com/news/anacondaweb-positions-itself-with-the-largest-data-center-in-the-capital-of-the-,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-08T00:10:39Z,https://www.datacentermap.com/chile/santiago/anacondaweb/,"Operator HQ: Santiago, Metropolitana. Services offered: Private Cabinets, Partial Cabinets, Individual Servers, Remote Hands, Bare Metal Servers, Public Cloud Servers. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: AI, artificial intelligence, nvidia | wholesale/hyperscale terms: hyperscale, wholesale | blurb: economics-of-ai-data-centers) 8 Aug 2026 [![Why Expansion Rights Are Reshaping Wholesale Colocation Deals ](https://www.datacenters.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Fhjlz68xhm%2Fimage%2Fupload%2Fv1786050743%2Fblog-posts%2Ffeatured-images%"
Ascenty - Santiago SCL3,SCL3,Ascenty Data Centers,,Chile,Santiago,7 Santiago,Guacolda 2100,,True,True,True,False,True,False,,Yes,Ascenty - Santiago SCL2 (0 km); Ascenty - Santiago SCL1 (0 km); Microsoft Quilicura (SCL03) (0.64 km); Cirion SAN2 (2.16 km); Sonda Kudos (2.17 km),https://www.datacentermap.com/visit/datacenter/ascenty-santiago-scl3/,https://www.datacentermap.com/chile/santiago/ascenty-santiago-scl3/,https://www.datacenters.com/providers/ascenty,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-08T00:10:49Z,https://www.datacentermap.com/chile/santiago/ascenty-santiago-scl3/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Ascenty - Santiago SCL1,SCL1,Ascenty Data Centers,,Chile,Santiago,Bldg 1,Guacolda 2100,,True,True,True,False,True,False,,Yes,Ascenty - Santiago SCL3 (0 km); Ascenty - Santiago SCL2 (0 km); Microsoft Quilicura (SCL03) (0.64 km); Cirion SAN2 (2.16 km); Sonda Kudos (2.16 km),https://www.datacentermap.com/visit/datacenter/guacolda-2100-bldg-1/,https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-1/,https://www.datacenters.com/providers/ascenty,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-09T15:50:12Z,https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-1/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Ascenty - Santiago SCL2,SCL2,Ascenty Data Centers,,Chile,Santiago,Bldg 2,Guacolda 2100,,True,True,True,False,True,False,,Yes,Ascenty - Santiago SCL3 (0 km); Ascenty - Santiago SCL1 (0 km); Microsoft Quilicura (SCL03) (0.64 km); Cirion SAN2 (2.16 km); Sonda Kudos (2.17 km),https://www.datacentermap.com/visit/datacenter/guacolda-2100-bldg-2/,https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-2/,https://www.datacenters.com/providers/ascenty,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-09T15:50:19Z,https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-2/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Cirion SAN1,SAN1,Cirion,,Chile,Santiago,0 Huechuraba,Av. Sta. Marta de Huechuraba 6951,,True,True,True,True,True,True,,Yes,Scala Data Centers SSCLHB02 (0.95 km); Scala Data Centers SSCLHB01 (1.01 km); Google Quilicura Data Center 2 (1.71 km); Google Quilicura Campus (1.85 km); Google Quilicura Data Center 1 (1.97 km),https://www.datacentermap.com/visit/datacenter/cirion-san1/,https://www.datacentermap.com/chile/santiago/cirion-san1/,https://www.datacenters.com/providers/cirion-technologies/data-center-locations,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-08T00:11:28Z,https://www.datacentermap.com/chile/santiago/cirion-san1/,"Operator HQ: Miami, Florida. Services offered: Suites, Cages, Private Cabinets, Partial Cabinets, Remote Hands, Bare Metal Servers, Public Cloud Servers. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Cirion SAN2,SAN2,Cirion,,Chile,Santiago,Santiago de Chile,Víctor Uribe 2259,,True,True,True,True,True,True,,Yes,Sonda Kudos (0.11 km); Sonda Quilicura (0.17 km); Google Quilicura Data Center 1 (0.41 km); Google Quilicura Campus (0.52 km); Google Quilicura Data Center 2 (0.65 km),https://www.datacentermap.com/visit/datacenter/cirion-san2/,https://www.datacentermap.com/chile/santiago/cirion-san2/,https://www.datacenters.com/providers/cirion-technologies/data-center-locations,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-08T00:12:01Z,https://www.datacentermap.com/chile/santiago/cirion-san2/,"Operator HQ: Miami, Florida. Services offered: Suites, Cages, Private Cabinets, Partial Cabinets, Remote Hands, Bare Metal Servers, Public Cloud Servers. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
Claro Data Center Liray,,Claro,,Chile,Santiago,0Colina,Liray 18,,True,True,True,False,True,True,,Yes,Scala Data Centers SSCLLP02 (6.51 km); Scala Data Centers SSCLLP01 (6.51 km); EdgeConneX Santiago - SCL04 (6.72 km); EdgeConneX Santiago - SCL03 (6.76 km); EdgeConneX Santiago Campus (6.78 km),https://www.datacentermap.com/visit/datacenter/claro-data-center-liray/,https://www.datacentermap.com/chile/santiago/claro-data-center-liray/,https://www.datacenters.com/providers/claro/data-center-locations,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Colo, MultiSiteOperator",High,False,2026-08-08T00:14:11Z,https://www.datacentermap.com/chile/santiago/claro-data-center-liray/,"Operator HQ: , México. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands, Public Cloud Servers. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
EdgeConneX Santiago - SCL03,SCL03,EdgeConneX,,Chile,Santiago,7Colina,Carretera General San Martin 8400,,True,True,True,False,True,True,,Yes,EdgeConneX Santiago Campus (0.09 km); EdgeConnex Santiago - SCL01 (0.09 km); EdgeConneX Santiago - SCL04 (0.09 km); EdgeConneX Santiago - SCL02 (0.18 km); ODATA ST01 (2.43 km),https://www.datacentermap.com/visit/datacenter/edgeconnex-santiago-scl03/,https://www.datacentermap.com/chile/santiago/edgeconnex-santiago-scl03/,https://www.datacenters.com/providers/edgeconnex/data-center-locations,https://cloudscene.com/market/data-centers-in-chile/all,5,Multi-site LatAm colo/wholesale operator in a priority metro with clear commercial colo (MW known or colo footprint).,"Wholesale, Colo, Edge, Hyperscale, MultiSiteOperator",High,False,2026-08-08T00:15:04Z,https://www.datacentermap.com/chile/santiago/edgeconnex-santiago-scl03/,"Operator HQ: Herndon, Virginia. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands, Public Cloud Servers. Metro connectivity (Cloudscene): Med. datacenters.com: AI/GPU terms: artificial intelligence | wholesale/hyperscale terms: wholesale | blurb: ## Top Services - [Capacity](https://www.datacenters.com/services/capacity) - [Wholesale](https://www.datacenters.com/services/wholesale) - [Artificial Intelligence](https://www.datacenters.com/services/artificial_intelligence) - [Real Estate](https://www.dat"
